,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
67,Samraj K,i have choosen tamil as prefered language. then why search results and suggestions shows other language. It should show that language alone. Totally usability fault. Worst design. Not usable.,Rated 1 stars out of five stars,"April 10, 2020","{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.8534}",-0.8534,Negative,-0.375,0.7083333333333334,Negative
68,Preetha Jobby,"Gaana used to be my favorite Music app. But since the past 2 days , I am not able to play any English songs. Eventhough ,I am a Gaana plus user , I am not able to hear any English songs. I also came across another review stating the same. (It was seen that both I and the other user is from the same ...\nFull Review",Rated 1 stars out of five stars,"March 27, 2020","{'neg': 0.033, 'neu': 0.917, 'pos': 0.049, 'compound': 0.2415}",0.2415,Positive,-0.04166666666666666,0.3472222222222222,Negative
69,Afsha_ Ajmal,I really love one thing in this app you get lyrics Just loved it ... I have not given five stars because of ads it really irritate us...,Rated 4 stars out of five stars,"April 2, 2020","{'neg': 0.09, 'neu': 0.667, 'pos': 0.243, 'compound': 0.743}",0.743,Positive,0.4666666666666666,0.5333333333333333,Positive
70,Kunal Kumar,"This is a best app for online music, but from last few months I am facing a problem that the music stops playing after 4 to 5 minutes. I thought that it might be the problem. With my phone, but my friends arefacing the same problem. Developers please look into this matter and solve it because i love...\nFull Review",Rated 4 stars out of five stars,"March 29, 2020","{'neg': 0.18, 'neu': 0.601, 'pos': 0.219, 'compound': 0.1871}",0.1871,Positive,0.2,0.14791666666666667,Positive
71,Sumit Kumar,"Giving too many notification sounds. Even when the song changes. Please look into it. Great app, been using it since 3 years",Rated 2 stars out of five stars,"April 5, 2020","{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.8316}",0.8316,Positive,0.65,0.625,Positive
72,Shivshankarpandey Shivshankarpandey,"Here, I am using this app for last 8 months and this app works very good and I like this app and I said for this app that thier features is very good then I follow this app because In this app all songs are available then I listen all types of songs and also available all artists thanks for making t...\nFull Review",Rated 5 stars out of five stars,"April 4, 2020","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.9011}",0.9011,Positive,0.47,0.4377777777777778,Positive
73,JOYSREE SAHA,"I really love this app.. I found almost every songs, I searched and the lyrics is really very helpful.. thanks for such updating this app..",Rated 5 stars out of five stars,"April 9, 2020","{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.8375}",0.8375,Positive,0.225,0.4,Positive
74,Pratik Doshit,"25th March 2020 - has good song collection, but app still sucks. Scrolling through list of songs jumps directly to bottom 23rd November 2019. App still sucks 1. After extensive use, I can see the app is made by an amature developer. These guys just dont know how to design an app.! 2. Gaana plus mem...\nFull Review",Rated 1 stars out of five stars,"March 25, 2020","{'neg': 0.112, 'neu': 0.856, 'pos': 0.032, 'compound': -0.7043}",-0.7043,Negative,0.04,0.3866666666666667,Positive
75,PES CHAMP,"A very bad experience. It\s so much irritating to use Gaana now. It couldn\t get any worse. I cannot create a playlist in the app. What\s wrong? Everytime I create a playlist and add some songs, it shows, Oops! Failed to create playlist, try again and when I go to profile, it shows a playlist crea...\nFull Review",Rated 1 stars out of five stars,"March 14, 2020","{'neg': 0.347, 'neu': 0.653, 'pos': 0.0, 'compound': -0.9652}",-0.9652,Negative,-0.5670000000000001,0.6933333333333332,Negative
76,Vivek Kumar,"Revent updates have all screwed up the app. Earlier, a playlist would end, Gaana would play similar songs. But, now it doesnt even complete the existing playlist and stops playing at random after 3 to 4 songs. Update : The app is still buggy. After playing 1 or 2 songs, the app will still be in pla...\nFull Review",Rated 1 stars out of five stars,"March 22, 2020","{'neg': 0.083, 'neu': 0.813, 'pos': 0.104, 'compound': 0.0516}",0.0516,Positive,-0.1,0.45,Negative
77,Abhishek Pramanick,"The songs collection is good. But I bought Gaana Plus annual subscription and after 10 to 11 songs, I cant download any more songs. All the songs get stuck in the download queue forever. Some of them are trying to download since the last month. If I cant download songs, then what is the benefit of...\nFull Review",Rated 1 stars out of five stars,"March 24, 2020","{'neg': 0.034, 'neu': 0.866, 'pos': 0.1, 'compound': 0.5994}",0.5994,Positive,0.4,0.3888888888888889,Positive
78,Satyalaxmi Singh,I didnt get the song I want limited songs. Its dont have hindi versions of telugu and tamil movie songs. We love to listen them but after I searched a lot I didnt get it. If you add those songs that will be better.,Rated 2 stars out of five stars,"April 6, 2020","{'neg': 0.033, 'neu': 0.795, 'pos': 0.173, 'compound': 0.7311}",0.7311,Positive,0.30952380952380953,0.4142857142857143,Positive
79,Pankaj Kr. Singh,"On Android 10, Lock screen doesnt blur or change colour according to song. But any other music player like YouTube music, wynk music, YouTube, spotify, etc the lock screen changes automatically background colour according to album art. Sometime its work while pausing the music on lock screen but no...\nFull Review",Rated 5 stars out of five stars,"March 22, 2020","{'neg': 0.0, 'neu': 0.966, 'pos': 0.034, 'compound': 0.1901}",0.1901,Positive,-0.125,0.375,Negative
80,Bheema Sankar Reddy Bapuram,Android version is good.. But the windows Store version is disastrous! Nothing works! Fix the windows version of gaana and Ill update my review!,Rated 2 stars out of five stars,"April 6, 2020","{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.8213}",-0.8213,Negative,-0.3083333333333333,0.8000000000000002,Negative
81,girish wani,No doubt about this app . I think a serious bug is there in this app as it closes the pp in 7 second after opening the app. please fix it ASAP,Rated 4 stars out of five stars,"March 31, 2020","{'neg': 0.186, 'neu': 0.743, 'pos': 0.071, 'compound': -0.4019}",-0.4019,Negative,-0.16666666666666666,0.3333333333333333,Negative
82,Souvik Bose,Day by day its getting worse then ever. Sometimes its not playing any song and sometimes totally close this app. After so many update its not fixed.,Rated 2 stars out of five stars,"April 4, 2020","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.5707}",-0.5707,Negative,0.012499999999999994,0.5125000000000001,Positive
83,Ritam Basak,In the Gaana app it cuts very much net from our daily data package. It also gives better music performance from any other music apps.,Rated 2 stars out of five stars,"March 25, 2020","{'neg': 0.078, 'neu': 0.819, 'pos': 0.103, 'compound': 0.1779}",0.1779,Positive,0.09375,0.21875,Positive
84,anand maurya,I dont what happens to it When i am playing songs from past few day it automatically stop to going to next song after playing 3 songs . I have to do it manually.,Rated 3 stars out of five stars,"April 6, 2020","{'neg': 0.069, 'neu': 0.818, 'pos': 0.113, 'compound': 0.1027}",0.1027,Positive,-0.15,0.11666666666666665,Negative
85,A Google user,Lot of artists and albums missing. Eg Lauv. And running it in background consumes lot of battery. Needs to be optimised. Jio Saavn has better collection of songs. Disappointed,Rated 2 stars out of five stars,"April 6, 2020","{'neg': 0.148, 'neu': 0.696, 'pos': 0.156, 'compound': 0.0772}",0.0772,Positive,-0.15,0.43333333333333335,Negative
86,Akash Kauticwar,"User experience can be enhanced much more. Animations can be smoother and better. Recommendations can be better. Dark mode is like grey mode it isnt black. Search bar doesnt let us to type, we have to press it twice. When ever i press open album it opens the album correctly and after pressing the ...\nFull Review",Rated 3 stars out of five stars,"March 19, 2020","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.8176}",0.8176,Positive,0.1619047619047619,0.4190476190476191,Positive
